"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"Sept 2003","9.275,06","9.416,67","9.686,08","9.230,47","4,39B","-1,49%"
"Août 2003","9.415,82","9.232,68","9.499,97","8.997,11","3,81B","1,97%"
"Juill 2003","9.233,80","8.983,66","9.361,40","8.871,20","4,91B","2,76%"
"Juin 2003","8.985,44","8.851,45","9.352,77","8.851,45","248,18M","0,00%"
"Juin 2003","8.985,44","8.851,45","9.352,77","8.851,45","4,99B","1,53%"
"Mai 2003","8.850,26","8.478,48","8.868,33","8.340,23","4,87B","4,37%"
"Avr 2003","8.480,09","7.992,83","8.559,77","7.979,69","5,13B","6,11%"
"Mar 2003","7.992,13","7.890,24","8.522,18","7.416,64","281,79M","0,00%"
"Mar 2003","7.992,13","7.890,24","8.522,18","7.416,64","5,62B","1,28%"
"Févr 2003","7.891,08","8.053,74","8.152,53","7.628,99","245,44M","0,00%"
"Févr 2003","7.891,08","8.053,74","8.152,53","7.628,99","4,42B","-2,02%"
"Jan 2003","8.053,81","8.342,38","8.869,29","7.917,16","273,05M","0,00%"
"Jan 2003","8.053,81","8.342,38","8.869,29","7.917,16","5,43B","-3,45%"
"Déc 2002","8.341,63","8.902,95","9.043,37","8.242,91","228,46M","0,00%"
"Déc 2002","8.341,63","8.902,95","9.043,37","8.242,91","4,61B","-6,23%"
"Nov 2002","8.896,09","8.395,64","8.950,33","8.298,68","5,34B","5,94%"
"Oct 2002","8.397,03","7.593,04","8.558,63","7.197,49","7,50B","10,60%"
"Sept 2002","7.591,93","8.659,27","8.726,90","7.460,78","298,76M","0,00%"
"Sept 2002","7.591,93","8.659,27","8.726,90","7.460,78","5,60B","-12,37%"
"Août 2002","8.663,50","8.732,58","9.077,01","8.030,82","5,59B","-0,84%"
"Juill 2002","8.736,59","9.239,25","9.410,38","7.532,66","7,66B","-5,48%"
"Juin 2002","9.243,26","9.923,94","9.986,49","8.926,57","305,77M","0,00%"
"Juin 2002","9.243,26","9.923,94","9.986,49","8.926,57","5,80B","-6,87%"
"Mai 2002","9.925,25","9.944,90","10.353,43","9.802,23","4,80B","-0,21%"
"Avr 2002","9.946,22","10.402,07","10.402,07","9.811,57","5,11B","-4,40%"
"Mar 2002","10.403,94","10.111,04","10.673,10","10.111,04","4,56B","2,95%"
"Févr 2002","10.106,13","9.923,04","10.255,24","9.580,32","4,65B","1,88%"
"Jan 2002","9.920,00","10.021,71","10.300,15","9.529,46","248,94M","0,00%"
"Jan 2002","9.920,00","10.021,71","10.300,15","9.529,46","4,96B","-1,01%"
"Déc 2001","10.021,57","9.848,93","10.184,45","9.703,90","222,48M","0,00%"
"Déc 2001","10.021,50","9.848,93","10.184,45","9.703,90","4,27B","1,73%"
"Nov 2001","9.851,56","9.087,45","9.992,79","9.014,46","4,66B","8,56%"
"Oct 2001","9.075,14","8.845,97","9.598,17","8.732,14","5,72B","2,57%"
"Sept 2001","8.847,56","9.946,98","10.182,38","8.062,34","393,05M","0,00%"
